"Symbol","Open Interest","Open Interest","chng in OI","%chng in OI","Volume","Futures Value","Options Value","Total Value","Underlying value"
"CIPLA",35970,21212,14758,69.57,142176,188237.22502,17709.97676,205947.20178,1340
"MIDCPNIFTY",710565,477077,233488,48.94,12970831,72221.50733,280311.63927,352533.1466,10886
"POLYCAB",48358,32637,15721,48.17,320468,348868.97301,47420.39047,396289.36348,6180
"LALPATHLAB",9057,7030,2027,28.83,31711,64044.47235,4595.15301,68639.62536,2350
"FINNIFTY",892957,715146,177811,24.86,12585378,11032.2759,275058.09186,286090.36776,21094
"JKCEMENT",9223,7640,1583,20.72,7061,18875.52472,456.88206,19332.40678,3815
"BANKNIFTY",6720730,5775321,945409,16.37,82464981,1089979.94641,2568451.89233,3658431.83874,47421
"ABB",20688,17846,2842,15.93,33404,87023.52401,6025.54915,93049.07316,7205
"NIFTY",11325345,9806470,1518875,15.49,76584628,1808144.35588,1717458.59473,3525602.95062,22055
"NIFTYNXT50",4824,4210,614,14.58,22959,4944.65594,246.10146,5190.75741,63934
"ESCORTS",10917,9552,1365,14.29,45302,80625.74008,9208.43198,89834.17206,3550
"ASTRAL",12769,11181,1588,14.2,23011,47909.9711,3715.36934,51625.34045,2162
"BANKBARODA",105618,92846,12772,13.76,188136,426383.95,26649.68055,453033.63056,255
"MGL",13331,11902,1429,12.01,57860,54146.77956,5526.29348,59673.07304,1306
"EICHERMOT",36713,32845,3868,11.78,44876,61579.44828,7052.68838,68632.13666,4670
"HINDCOPPER",24149,21634,2515,11.63,20531,77924.09959,3870.93344,81795.03303,371
"SUNTV",9991,9163,828,9.04,14569,38872.9575,2934.10125,41807.05875,670
"AARTIIND",25742,23679,2063,8.71,21141,35700.7503,2253.5084,37954.2587,675
"MFSL",13035,12080,955,7.91,11977,25972.57368,1551.2648,27523.83848,978
"BIOCON",31668,29446,2222,7.55,23703,70141.4745,3649.45475,73790.92925,303
"OFSS",21683,20188,1495,7.41,5306,16993.13176,498.40682,17491.53858,7595
"BSOFT",29481,27545,1936,7.03,29091,34598.3438,2970.5282,37568.872,584
"SIEMENS",17202,16127,1075,6.67,8408,35496.34195,893.59276,36389.93472,6169
"NAUKRI",15229,14309,920,6.43,8099,26961.35119,922.25088,27883.60207,6038
"TCS",128031,120403,7628,6.34,89325,103945.30954,5866.34879,109811.65833,3895
"APOLLOTYRE",14874,14090,784,5.56,11801,27794.76421,1828.1732,29622.93741,480
"PIIND",10286,9744,542,5.56,4454,17584.0071,204.52262,17788.52972,3555
"TATAMOTORS",108041,102430,5611,5.48,153633,352562.60295,42455.21635,395017.8193,1047
"DEEPAKNTR",11697,11098,599,5.4,7055,14821.45086,840.10986,15661.56072,2499
"METROPOLIS",6823,6492,331,5.1,5513,14605.94984,535.3478,15141.29764,1750
"ACC",33338,31729,1609,5.07,18521,41967.10818,1302.18594,43269.29412,2363
"INFY",200463,190899,9564,5.01,92843,147727.35816,5036.54368,152763.90184,1425
"UPL",54078,51562,2516,4.88,89036,133697.51889,13011.85808,146709.37697,501
"HEROMOTOCO",62990,60061,2929,4.88,208871,118319.26131,24433.11141,142752.37272,4877
"DLF",88330,84290,4040,4.79,64089,104426.91369,7902.42766,112329.34135,828
"BANDHANBNK",67611,64587,3024,4.68,45718,74162.12667,4658.0808,78820.20747,187
"BPCL",67041,64139,2902,4.52,183004,146598.74217,21897.67761,168496.41978,618
"TATASTEEL",92659,88685,3974,4.48,62062,127034.75785,7999.3958,135034.15365,162
"DIXON",22225,21291,934,4.39,11447,26579.77024,1716.00243,28295.77267,8440
"CHOLAFIN",26474,25370,1104,4.35,50451,58438.84625,5816.7815,64255.62775,1274
"OBEROIRLTY",11184,10720,464,4.33,5318,21495.45972,583.94315,22079.40287,1479
"HINDUNILVR",113567,109044,4523,4.15,68142,117263.71365,3909.25818,121172.97183,2365
"GRANULES",10831,10418,413,3.96,5704,12873.4412,795.7264,13669.1676,399
"M&MFIN",37062,35688,1374,3.85,21708,34787.4954,1652.0478,36439.5432,251
"SBIN",304981,293814,11167,3.8,397530,477279.45982,35085.32212,512364.78195,816
"PVRINOX",25290,24382,908,3.72,9000,14832.11817,628.48528,15460.60346,1291
"SRF",30576,29504,1072,3.63,31287,53102.88022,3805.82486,56908.70508,2284
"ABBOTINDIA",10984,10599,385,3.63,23517,30913.45388,1846.32152,32759.7754,26375
"CONCOR",22540,21751,789,3.63,13725,48255.5938,1926.7458,50182.3396,999
"GRASIM",24976,24107,869,3.6,12701,41681.69301,1096.85405,42778.54707,2362
"COLPAL",13291,12829,462,3.6,3917,19257.37068,351.04643,19608.41711,2794
"LT",228004,220756,7248,3.28,167413,163684.63215,8438.76306,172123.39521,3276
"CUMMINSIND",18271,17707,564,3.19,5657,24989.31456,964.97982,25954.29438,3414
"PFC",44652,43312,1340,3.09,46805,191437.77648,15813.7914,207251.56788,419
"MCDOWELL-N",22787,22105,682,3.09,8489,21984.81782,909.66351,22894.48133,1200
"BERGEPAINT",24744,24033,711,2.96,14494,35221.4016,1097.63821,36319.03981,491
"LTTS",39484,38350,1134,2.96,15644,20010.73144,710.01371,20720.74515,4370
"INDHOTEL",42740,41523,1217,2.93,22133,37459.1244,1278.0498,38737.1742,544
"TATAPOWER",60258,58660,1598,2.72,72040,169813.6598,14715.47459,184529.13439,415
"CUB",10432,10157,275,2.71,5143,19645.96,480.7265,20126.6865,149
